precision,recall,f1-score,support,Classe,Ano
1.0,0.9905571293673276,0.9952561669829222,1059.0,Água,2020
0.9704968944099379,0.9321401938851603,0.9509319132750095,1341.0,Floresta Nativa,2020
0.46285714285714286,0.5955882352941176,0.5209003215434084,136.0,Floresta Plantada,2020
0.12857142857142856,0.09854014598540146,0.1115702479338843,274.0,Agricultura,2020
0.7537174721189591,0.7950980392156862,0.773854961832061,1020.0,Agricultura em Pousio,2020
0.18840579710144928,0.35135135135135137,0.24528301886792453,37.0,Solo Exposto,2020
