precision,recall,f1-score,support,Classe,Ano
1.0,0.9896128423040604,0.9947793070716658,1059.0,Água,2021
0.9742647058823529,0.9880686055182699,0.9811181044057756,1341.0,Floresta Nativa,2021
0.8403361344537815,0.7352941176470589,0.7843137254901961,136.0,Floresta Plantada,2021
0.13846153846153847,0.06569343065693431,0.0891089108910891,274.0,Agricultura,2021
0.7647562018819504,0.8764705882352941,0.8168113293741435,1020.0,Agricultura em Pousio,2021
0.2926829268292683,0.32432432432432434,0.3076923076923077,37.0,Solo Exposto,2021
